id,full_name,employment_status_code,ethnicity,gender,city,state,company,employee_number,original_hire,last_hire,seniority_date,seniority_years,termination_date,termination_reason,termination_reason_code,termination_type,effective_date,job,job_change,reason,employment_type,job_family,org_level_1,org_level_2,org_level_2_manager_first_mi_last_suffix,supervisor_name_unsecured,work_location,location
1417,Joseph Garcia,T,Asian,Non-Binary,Yatesland,FL,MKN,9658,2020-02-21,2020-03-17,2020-02-21,5.0,2023-08-12,Laid Off,TRC793,Involuntary,2021-01-16,Magazine features editor,False,Method maybe science never.,Contractor,Sales,Springline,Audit,Lauren Reyes DVM,Stephanie Bernard,Headquarters,"Yatesland, FL"
1418,Margaret Riley,A,White,Male,Popeberg,WA,MKN,3289,2018-01-21,2018-11-03,2018-01-21,7.0,,,,,2019-03-22,Purchasing manager,False,Brother rather practice fear could budget.,Part-Time,Profesional,Springline,Audit,Cameron Williams,Allison Potter,Remote,"Popeberg, WA"
1419,Chase Bond,A,White,Non-Binary,Emilyport,TX,Springline,8536,2019-10-29,2020-06-09,2019-10-29,5.0,,,,,2020-09-03,Stage manager,False,,Full-Time,Profesional,Springline,Sales Dept,Kelsey Morgan,Rebecca Turner,Headquarters,"Emilyport, TX"
1420,Philip Smith,T,Black,Male,Port Samantha,CA,MKN,6516,2017-11-28,2018-07-09,2017-11-28,7.0,2019-10-07,Contract Ended,TRC402,Involuntary,2019-06-24,Psychiatrist,False,Accept tree Republican difference media.,Contractor,Product,Springline,Product Dept,Heather Lyons,Joshua Cohen,Regional Office,"Port Samantha, CA"
1421,Kirsten Garcia,A,Hispanic,Non-Binary,Port Maureenside,FL,Springline,9554,2015-11-23,2016-10-15,2015-11-23,9.0,,,,,2016-10-25,Editorial assistant,False,,Contractor,Profesional,Springline,Product Dept,Alicia Gonzalez,Alexander Morris,Remote,"Port Maureenside, FL"
1422,Brady Moses,T,Hispanic,Non-Binary,Sharpview,CA,Springline,2415,2021-11-08,2022-07-28,2021-11-08,3.0,2024-08-11,Retired,TRC765,Transfer,2023-06-17,Futures trader,False,National local himself contain.,Intern,Product,Springline,Sales Dept,Andrew Armstrong,Mr. Thomas Williams,Headquarters,"Sharpview, CA"
1423,George Rivera,T,White,Female,Martintown,FL,Springline,9303,2015-07-28,2015-12-06,2015-07-28,9.0,2023-02-12,Retired,TRC842,Voluntary,2016-07-24,Speech and language therapist,False,,Intern,Product,Springline,Finance,Melissa Anderson,Adam Williams,Regional Office,"Martintown, FL"
1424,Paul Johns,A,White,Male,South Michaelton,FL,MKN,1280,2023-11-27,2024-10-09,2023-11-27,1.0,,,,,2025-03-17,Systems developer,False,,Part-Time,Engineering,Springline,Sales Dept,Tracy Robbins,Cameron Harvey,Headquarters,"South Michaelton, FL"
1425,Robert Hernandez,T,White,Male,Annemouth,TX,Springline,9210,2017-01-12,2017-02-22,2017-01-12,8.0,2021-10-16,Retired,TRC801,Involuntary,2017-11-22,Chief of Staff,False,,Full-Time,Sales,Springline,Audit,Mark Henry,Sarah Jones,Regional Office,"Annemouth, TX"
1426,Brittney Evans,T,Black,Female,Christinastad,TX,MKN,8260,2024-01-13,2024-01-26,2024-01-13,1.0,2025-01-22,Retired,TRC740,Voluntary,2024-11-19,Educational psychologist,False,,Contractor,Sales,Springline,Sales Dept,Christopher Morrison,Kenneth Wang,Headquarters,"Christinastad, TX"
1427,Carl Mendoza,T,White,Non-Binary,Port Richard,TX,MKN,6145,2018-04-19,2018-09-29,2018-04-19,6.0,2019-12-08,Laid Off,TRC826,Voluntary,2019-04-22,"Engineer, production",False,Tough something better white by.,Full-Time,Sales,Springline,Finance,Sandra Phillips,Stephen Brown,Remote,"Port Richard, TX"
1428,Wendy Clark,T,Black,Female,South Joshua,WA,Springline,2527,2022-03-09,2023-01-07,2022-03-09,2.0,2023-10-10,Resigned,TRC426,Transfer,2023-05-31,"Engineer, agricultural",False,,Contractor,Sales,Springline,Audit,Justin Serrano,Steven Powers,Remote,"South Joshua, WA"
1429,Kimberly Clayton,T,White,Male,New Zacharyfort,TX,MKN,4861,2023-04-03,2024-03-19,2023-04-03,1.0,2024-12-19,Retired,TRC308,Voluntary,2024-06-22,"Programmer, systems",False,Gun cut husband arrive wife north free.,Contractor,Profesional,Springline,Audit,Lisa Montgomery,John Young,Remote,"New Zacharyfort, TX"
1430,Justin Miller,A,Black,Non-Binary,Lake Terriside,NY,MKN,3044,2020-01-10,2020-12-11,2020-01-10,5.0,,,,,2021-02-03,Copy,False,Especially kind small real lot.,Intern,Product,Springline,Sales Dept,Robert Williams,Kristina Lee,Headquarters,"Lake Terriside, NY"
1431,Mackenzie Hernandez,T,Asian,Male,Port Victorchester,TX,MKN,1962,2015-05-18,2015-06-08,2015-05-18,9.0,2024-02-06,Laid Off,TRC610,Involuntary,2015-06-28,Lawyer,False,,Part-Time,Sales,Springline,Audit,Timothy Simmons,Gina Castro,Headquarters,"Port Victorchester, TX"
1432,Natasha Bailey,T,Hispanic,Female,Port Ronald,CA,Springline,3213,2015-11-11,2016-01-30,2015-11-11,9.0,2020-01-13,Contract Ended,TRC956,Transfer,2016-10-14,Broadcast journalist,False,,Full-Time,Engineering,Springline,Sales Dept,Emma Jones,Mr. Craig Cooke,Remote,"Port Ronald, CA"
1433,Angel Park,T,White,Female,South Brandon,NY,Springline,2297,2023-08-27,2024-04-08,2023-08-27,1.0,2025-02-04,Contract Ended,TRC830,Transfer,2025-01-20,IT sales professional,False,Mrs million that fall believe next article.,Intern,Profesional,Springline,Audit,Patricia Dean DDS,Jasmine Wilson,Regional Office,"South Brandon, NY"
1434,Elizabeth Schwartz,A,Asian,Female,North Randyfort,WA,Springline,9669,2023-08-13,2024-06-22,2023-08-13,1.0,,,,,2025-01-31,Geoscientist,False,,Contractor,Profesional,Springline,Audit,Joseph Higgins,Justin Andrews,Remote,"North Randyfort, WA"
1435,Debra Brown,T,White,Male,New Brandonport,FL,MKN,8655,2024-07-17,2025-01-11,2024-07-17,0.0,2025-02-17,Contract Ended,TRC779,Voluntary,2025-02-01,Land/geomatics surveyor,False,,Intern,Profesional,Springline,Finance,David Blevins,Joanne Wu,Remote,"New Brandonport, FL"
1436,Laura Livingston,A,White,Female,East Benjamin,WA,Springline,7659,2017-02-01,2017-04-15,2017-02-01,8.0,,,,,2017-11-17,Magazine features editor,False,,Contractor,Engineering,Springline,Finance,Veronica Wilson,Sylvia Gregory,Headquarters,"East Benjamin, WA"
1437,Amanda Johnson,A,Asian,Male,Port Thomasside,CA,MKN,7028,2023-09-29,2024-02-27,2023-09-29,1.0,,,,,2024-12-03,Tourism officer,False,,Contractor,Sales,Springline,Audit,Robert Allen,Michelle Joseph,Remote,"Port Thomasside, CA"
1438,Nancy Hernandez,T,Black,Non-Binary,Kelleyburgh,CA,Springline,8089,2022-11-02,2023-03-08,2022-11-02,2.0,2024-08-19,Laid Off,TRC511,Voluntary,2023-10-05,Early years teacher,False,Tv race bank whom.,Contractor,Product,Springline,Finance,Matthew Jackson,Ryan Spencer,Regional Office,"Kelleyburgh, CA"
1439,Jasmine Bell,A,White,Male,New Ryan,CA,MKN,3378,2018-03-16,2018-09-24,2018-03-16,6.0,,,,,2019-09-10,Sales promotion account executive,False,,Full-Time,Profesional,Springline,Sales Dept,Taylor Gardner,Phillip Bauer,Headquarters,"New Ryan, CA"
1440,Stephanie Duran,A,Asian,Male,South Vincentmouth,WA,Springline,7873,2021-04-23,2022-01-22,2021-04-23,3.0,,,,,2022-07-01,Merchant navy officer,False,Woman stuff just dark really all religious.,Part-Time,Engineering,Springline,Finance,Veronica Hansen,Stephanie Lawson,Headquarters,"South Vincentmouth, WA"
1441,Bethany Jefferson,A,White,Non-Binary,Adamshaven,FL,Springline,9180,2024-01-15,2024-08-22,2024-01-15,1.0,,,,,2025-01-30,"Doctor, general practice",False,,Contractor,Profesional,Springline,Audit,Joel Hart,Stefanie Young,Remote,"Adamshaven, FL"
1442,Ashley Wise,T,Asian,Male,Youngbury,WA,MKN,2672,2021-04-03,2021-10-19,2021-04-03,3.0,2024-12-08,Laid Off,TRC111,Voluntary,2022-05-02,Geophysicist/field seismologist,False,,Part-Time,Profesional,Springline,Finance,Elizabeth Burns,Daniel Perez,Remote,"Youngbury, WA"
1443,Richard Silva,A,White,Non-Binary,North Catherineburgh,CA,Springline,6730,2023-09-21,2024-03-02,2023-09-21,1.0,,,,,2024-11-14,Biomedical engineer,False,Compare key next year light.,Part-Time,Product,Springline,Audit,David Rodriguez,Mark Jackson,Headquarters,"North Catherineburgh, CA"
1444,Sean Gomez,T,White,Male,Port Hailey,WA,Springline,5362,2018-02-17,2018-08-08,2018-02-17,7.0,2022-09-12,Laid Off,TRC931,Transfer,2018-08-10,Research scientist (maths),False,Board language room relate peace.,Intern,Product,Springline,Sales Dept,Angela Stokes,Mark Nguyen,Regional Office,"Port Hailey, WA"
1445,Amy Wright,A,Asian,Male,Melissaview,TX,Springline,3496,2020-04-25,2020-11-28,2020-04-25,4.0,,,,,2020-12-27,Press photographer,False,,Intern,Engineering,Springline,Sales Dept,Joseph Walker,Adrienne Thomas,Remote,"Melissaview, TX"
1446,Sheri Hoffman,A,Black,Male,New Erinmouth,CA,MKN,5702,2019-12-03,2020-08-14,2019-12-03,5.0,,,,,2021-03-05,Advertising account planner,False,,Part-Time,Engineering,Springline,Finance,Bill Morton,Jonathan Rosales,Remote,"New Erinmouth, CA"
1447,Sandra Martin,A,Asian,Non-Binary,Melissaland,CA,MKN,8959,2024-12-16,2025-06-12,2024-12-16,0.0,,,,,2025-07-14,Television production assistant,False,Push new impact.,Contractor,Product,Springline,Finance,Lisa Rodriguez,Lisa Baker,Headquarters,"Melissaland, CA"
1448,Nancy Roberts,A,Asian,Female,Grahammouth,WA,MKN,5809,2015-09-02,2015-10-05,2015-09-02,9.0,,,,,2015-12-19,Paramedic,False,,Part-Time,Profesional,Springline,Finance,Joshua Cook,Megan Vega,Regional Office,"Grahammouth, WA"
1449,Cory Lopez,T,Black,Non-Binary,Diazstad,FL,MKN,2175,2017-11-09,2018-08-23,2017-11-09,7.0,2023-05-14,Contract Ended,TRC638,Transfer,2019-08-11,Herbalist,False,,Intern,Sales,Springline,Product Dept,Ashley Miller,Emily Rodriguez MD,Remote,"Diazstad, FL"
1450,Adam Jones,A,Black,Female,West Joseph,CA,MKN,2915,2023-04-26,2023-11-05,2023-04-26,1.0,,,,,2023-12-31,Mental health nurse,False,,Intern,Product,Springline,Product Dept,Paula Bennett,Joseph Miller,Remote,"West Joseph, CA"
1451,Alec Conley,A,Hispanic,Male,Morganberg,CA,MKN,9059,2024-04-18,2025-01-23,2024-04-18,0.0,,,,,2025-08-07,"Administrator, arts",False,,Contractor,Profesional,Springline,Product Dept,Mrs. Briana Johnson,Kathleen Spencer,Regional Office,"Morganberg, CA"
1452,Mark Hart,T,White,Female,East Alexanderville,FL,Springline,2698,2024-01-31,2025-01-08,2024-01-31,1.0,2025-02-19,Resigned,TRC134,Transfer,2025-02-19,Charity fundraiser,False,Cut apply red rather.,Intern,Profesional,Springline,Sales Dept,Jennifer Phillips,Marco Tucker,Headquarters,"East Alexanderville, FL"
1453,Cody Rodgers,A,White,Male,Darrylborough,CA,MKN,2163,2021-09-14,2022-03-22,2021-09-14,3.0,,,,,2022-10-17,Clinical research associate,False,Large fire movie pretty share news.,Intern,Engineering,Springline,Sales Dept,Andre Miller,Sheena Washington,Headquarters,"Darrylborough, CA"
1454,Richard Lawrence,A,Black,Male,Port Todd,NY,MKN,7995,2015-11-29,2016-02-07,2015-11-29,9.0,,,,,2016-02-22,"Scientist, audiological",False,,Contractor,Sales,Springline,Audit,William Paul,Robert Rush,Regional Office,"Port Todd, NY"
1455,Eric Moon,T,Black,Non-Binary,South Sydney,WA,MKN,1137,2017-09-18,2018-02-17,2017-09-18,7.0,2025-01-18,Retired,TRC934,Voluntary,2019-01-07,"Editor, film/video",False,Fish guess nor.,Intern,Product,Springline,Audit,Nicole Harding,Jennifer Hall,Headquarters,"South Sydney, WA"
1456,Ryan Beck,T,Hispanic,Female,Kimberlyton,WA,MKN,5539,2017-06-12,2017-07-07,2017-06-12,7.0,2021-04-07,Resigned,TRC654,Voluntary,2017-08-06,Translator,False,,Full-Time,Engineering,Springline,Finance,Dr. Jeanette Lawrence DDS,Kevin Holmes,Remote,"Kimberlyton, WA"
1457,Donna Sherman,T,Hispanic,Female,Mckinneytown,FL,Springline,3693,2023-07-28,2024-06-05,2023-07-28,1.0,2025-02-04,Retired,TRC320,Voluntary,2024-12-02,Production manager,False,Rest else entire then situation war.,Intern,Product,Springline,Product Dept,Laura Taylor,Chris Anderson,Regional Office,"Mckinneytown, FL"
1458,Marissa Russell,T,Hispanic,Female,Kevinmouth,FL,Springline,4664,2020-07-20,2020-08-14,2020-07-20,4.0,2023-04-21,Laid Off,TRC478,Involuntary,2020-12-29,Immigration officer,False,Follow success million.,Part-Time,Sales,Springline,Product Dept,Christian Roberts,Christopher Carlson,Regional Office,"Kevinmouth, FL"
1459,Brandon Pruitt,T,Hispanic,Female,Jeremiahchester,TX,MKN,8053,2018-10-17,2019-08-11,2018-10-17,6.0,2025-01-24,Resigned,TRC113,Involuntary,2020-02-14,"Presenter, broadcasting",False,About identify common list.,Full-Time,Engineering,Springline,Sales Dept,Amber Prince,Cheyenne Cooper,Regional Office,"Jeremiahchester, TX"
1460,Christopher Morse,T,Black,Male,Johnsonstad,TX,MKN,7897,2021-02-15,2021-05-06,2021-02-15,4.0,2021-11-07,Retired,TRC863,Transfer,2021-06-20,Automotive engineer,False,,Full-Time,Sales,Springline,Audit,Cynthia Turner,Jared Bond,Headquarters,"Johnsonstad, TX"
1461,James Ford,A,Hispanic,Male,New Deanchester,TX,Springline,6805,2020-12-06,2021-06-11,2020-12-06,4.0,,,,,2021-09-08,"Pilot, airline",False,,Full-Time,Profesional,Springline,Finance,Scott Richardson,Brandon Beck,Headquarters,"New Deanchester, TX"
1462,Patrick Graham,T,Hispanic,Male,South Billystad,TX,MKN,8695,2022-01-22,2023-01-18,2022-01-22,3.0,2024-11-21,Retired,TRC271,Involuntary,2023-06-29,Press sub,False,Term beyond car must sport defense continue.,Full-Time,Engineering,Springline,Audit,Christine Winters,Jose Mills,Headquarters,"South Billystad, TX"
1463,Jeffrey Tran,T,Hispanic,Female,Port Loriport,FL,MKN,8860,2022-09-08,2022-12-24,2022-09-08,2.0,2024-05-12,Retired,TRC928,Involuntary,2023-04-09,Training and development officer,False,,Intern,Sales,Springline,Audit,James Baker,Darrell Rice,Headquarters,"Port Loriport, FL"
1464,Andrew Clark,A,Asian,Non-Binary,Port Stephanie,NY,Springline,1556,2016-11-06,2017-08-28,2016-11-06,8.0,,,,,2017-11-06,"Designer, textile",False,,Part-Time,Sales,Springline,Sales Dept,Joanna Hinton,Jacob Simmons,Headquarters,"Port Stephanie, NY"
1465,Teresa Lopez DVM,T,Black,Non-Binary,West David,WA,MKN,8116,2016-09-18,2017-02-09,2016-09-18,8.0,2022-09-15,Laid Off,TRC303,Voluntary,2017-08-04,"Scientist, forensic",False,Travel body less our.,Part-Time,Engineering,Springline,Product Dept,Patricia Gonzales,Antonio Bridges,Regional Office,"West David, WA"
1466,Jennifer Mitchell,T,White,Non-Binary,Peckview,CA,MKN,9615,2019-02-16,2019-03-10,2019-02-16,6.0,2020-07-10,Resigned,TRC297,Voluntary,2019-11-29,"Engineer, land",False,Reason guess investment reflect week.,Part-Time,Engineering,Springline,Finance,Erin Terry,Alyssa Garner,Remote,"Peckview, CA"
1467,Andre Williams,T,Black,Male,East Amanda,TX,MKN,8064,2021-08-29,2021-12-13,2021-08-29,3.0,2022-04-22,Laid Off,TRC739,Voluntary,2021-12-27,Firefighter,False,Everybody section entire market next blood benefit.,Full-Time,Sales,Springline,Product Dept,David Williamson,Shawn Scott,Remote,"East Amanda, TX"
1468,Laurie Andrews,T,Asian,Male,Christopherfurt,FL,Springline,1597,2017-01-16,2017-10-30,2017-01-16,8.0,2019-05-11,Resigned,TRC554,Voluntary,2018-03-08,"Designer, graphic",False,,Contractor,Product,Springline,Finance,Christina Torres,David Booth,Remote,"Christopherfurt, FL"
1469,Kathy Peterson,T,Hispanic,Male,South Dawn,CA,MKN,1951,2020-05-28,2020-07-21,2020-05-28,4.0,2022-01-20,Laid Off,TRC401,Transfer,2021-06-21,Copy,False,,Intern,Product,Springline,Audit,Nathan Allen,Sophia Rowe,Remote,"South Dawn, CA"
1470,Johnny Cook,T,Black,Female,Douglaschester,CA,Springline,1538,2021-09-03,2022-07-02,2021-09-03,3.0,2023-05-14,Resigned,TRC633,Voluntary,2022-11-20,Legal secretary,False,,Part-Time,Engineering,Springline,Product Dept,Kenneth Turner,Timothy Randall,Remote,"Douglaschester, CA"
1471,William Watson,A,Asian,Female,Atkinsonfurt,CA,MKN,4016,2017-03-26,2017-08-25,2017-03-26,7.0,,,,,2017-09-06,Chartered legal executive (England and Wales),False,Perhaps sport wrong left four lay man night.,Part-Time,Sales,Springline,Sales Dept,Rebecca Ruiz,Samantha Lopez,Headquarters,"Atkinsonfurt, CA"
1472,William Weber,T,Hispanic,Female,Townsendfurt,NY,MKN,3943,2018-10-18,2018-11-12,2018-10-18,6.0,2023-06-28,Contract Ended,TRC801,Voluntary,2019-03-21,"Surveyor, building",False,True anything never always front mouth table.,Part-Time,Sales,Springline,Finance,Jason Marshall,Ryan Jenkins,Headquarters,"Townsendfurt, NY"
1473,Michael Watson,T,Asian,Non-Binary,Sabrinafurt,TX,Springline,2397,2017-09-09,2018-01-23,2017-09-09,7.0,2022-07-06,Resigned,TRC339,Voluntary,2018-07-29,Mudlogger,False,Can picture ever though my voice.,Full-Time,Product,Springline,Sales Dept,Aaron Casey,Kyle Garrett,Regional Office,"Sabrinafurt, TX"
1474,Mary Black,A,Hispanic,Female,Greggview,TX,MKN,3093,2024-01-17,2024-11-11,2024-01-17,1.0,,,,,2025-05-04,Equities trader,False,Shoulder social machine member range.,Full-Time,Engineering,Springline,Sales Dept,Reginald Sullivan,Karen Mason,Headquarters,"Greggview, TX"
1475,Donna Smith,A,Hispanic,Non-Binary,Davidmouth,TX,MKN,9748,2022-10-20,2023-08-13,2022-10-20,2.0,,,,,2023-09-07,Logistics and distribution manager,False,Each happy art change public.,Part-Time,Profesional,Springline,Sales Dept,Zachary Hamilton,Steven Coleman,Remote,"Davidmouth, TX"
1476,Allen Bennett,A,Asian,Non-Binary,Benjaminview,CA,MKN,7010,2023-06-14,2023-07-10,2023-06-14,1.0,,,,,2024-04-12,Chartered loss adjuster,False,,Contractor,Sales,Springline,Audit,Dominique Bates,Michael Davis,Regional Office,"Benjaminview, CA"
1477,Jennifer Hernandez,A,Hispanic,Non-Binary,Huntershire,NY,Springline,2711,2020-05-23,2021-04-07,2020-05-23,4.0,,,,,2022-01-17,"Pilot, airline",False,That start answer another arrive.,Full-Time,Profesional,Springline,Product Dept,Lisa Knight,Jennifer Ruiz,Headquarters,"Huntershire, NY"
1478,Christopher Gilbert,A,Asian,Male,North Emily,FL,MKN,8132,2023-03-30,2023-10-13,2023-03-30,1.0,,,,,2024-02-24,"Designer, multimedia",False,Turn short people local.,Contractor,Profesional,Springline,Product Dept,Marc Parker,Kathryn Garcia,Headquarters,"North Emily, FL"
1479,Krystal Smith,T,White,Non-Binary,New Jenniferport,WA,MKN,9225,2018-09-12,2019-04-18,2018-09-12,6.0,2020-02-07,Resigned,TRC773,Transfer,2019-09-25,Counsellor,False,Strategy however stand get kind.,Part-Time,Engineering,Springline,Sales Dept,Cristian Hammond,Barry Sanders,Regional Office,"New Jenniferport, WA"
1480,Teresa Jones,T,Asian,Female,Floydborough,CA,MKN,5366,2019-08-02,2020-02-19,2019-08-02,5.0,2023-10-19,Retired,TRC754,Voluntary,2020-07-06,Agricultural engineer,False,,Intern,Sales,Springline,Sales Dept,Erica Harmon,Tony Bell,Regional Office,"Floydborough, CA"
1481,Alicia Schmidt,T,Hispanic,Female,Thomasstad,FL,MKN,2803,2024-12-24,2025-07-19,2024-12-24,0.0,2025-02-19,Resigned,TRC583,Transfer,2025-02-19,Patent attorney,False,Protect film treat person none morning week memory.,Part-Time,Product,Springline,Product Dept,Jessica Aguirre,Ryan Smith,Headquarters,"Thomasstad, FL"
1482,Anthony Kline,A,Asian,Non-Binary,Joannaview,CA,MKN,9856,2024-07-27,2024-11-19,2024-07-27,0.0,,,,,2025-05-03,Sports development officer,False,,Intern,Engineering,Springline,Product Dept,Daniel Brown,Michael Gibson,Regional Office,"Joannaview, CA"
1483,Shannon Davis,A,Hispanic,Non-Binary,Sotoside,FL,MKN,4596,2018-03-25,2018-09-18,2018-03-25,6.0,,,,,2018-10-06,IT sales professional,False,,Full-Time,Profesional,Springline,Product Dept,Mandy Johnson,Catherine Turner,Regional Office,"Sotoside, FL"
1484,Mr. Thomas Clayton,T,Black,Female,Haroldport,NY,Springline,6206,2022-10-26,2023-07-19,2022-10-26,2.0,2024-05-12,Resigned,TRC944,Involuntary,2024-03-15,Oncologist,False,Accept fly campaign imagine or.,Part-Time,Sales,Springline,Finance,Leslie Barton,Monica Fields,Headquarters,"Haroldport, NY"
1485,William Hatfield,T,Hispanic,Non-Binary,Anthonyshire,WA,Springline,2774,2024-07-25,2024-08-14,2024-07-25,0.0,2024-12-09,Retired,TRC605,Voluntary,2024-10-27,Analytical chemist,False,,Full-Time,Product,Springline,Audit,Craig Scott,Denise Mathews,Headquarters,"Anthonyshire, WA"
1486,Carrie Rose,A,Hispanic,Non-Binary,Amberfort,TX,MKN,6326,2022-05-15,2022-12-20,2022-05-15,2.0,,,,,2023-04-15,"Engineer, water",False,Near within own north.,Part-Time,Engineering,Springline,Product Dept,Dr. Anthony Juarez,Anthony Gonzalez,Remote,"Amberfort, TX"
1487,Brittany Park,T,Hispanic,Female,Port Kelsey,FL,MKN,7852,2020-10-02,2021-06-16,2020-10-02,4.0,2022-10-24,Contract Ended,TRC320,Voluntary,2022-06-07,Tax inspector,False,,Part-Time,Sales,Springline,Sales Dept,Jonathan Alvarado,Angela Smith,Headquarters,"Port Kelsey, FL"
1488,Erica Ryan,A,Black,Female,East Sarah,WA,MKN,9279,2019-10-13,2019-12-03,2019-10-13,5.0,,,,,2020-02-03,Academic librarian,False,,Part-Time,Product,Springline,Sales Dept,Aaron Martinez,Sandra Wolfe,Regional Office,"East Sarah, WA"
1489,Jason Scott,T,Asian,Female,Campbellborough,NY,MKN,1310,2020-04-24,2021-04-20,2020-04-24,4.0,2023-08-30,Contract Ended,TRC825,Transfer,2021-07-27,Administrator,False,,Full-Time,Sales,Springline,Finance,Jessica Allison,Dennis Fitzgerald,Headquarters,"Campbellborough, NY"
1490,Kathleen Hess,T,Black,Female,West Johnberg,FL,Springline,1460,2019-03-19,2019-03-27,2019-03-19,5.0,2020-06-06,Contract Ended,TRC771,Transfer,2019-12-02,"Surveyor, quantity",False,Other meet laugh politics establish more.,Full-Time,Sales,Springline,Sales Dept,Megan Parker,Jessica Williams,Remote,"West Johnberg, FL"
1491,Kelsey Watson,T,Asian,Female,Nicholasfort,TX,MKN,9986,2015-09-12,2016-05-10,2015-09-12,9.0,2017-04-27,Laid Off,TRC476,Transfer,2017-03-18,Furniture designer,False,,Contractor,Product,Springline,Product Dept,Elizabeth Robinson,Laura Short,Remote,"Nicholasfort, TX"
1492,Amanda Conway,A,White,Male,Petersonburgh,CA,MKN,4763,2015-06-27,2016-05-25,2015-06-27,9.0,,,,,2016-12-30,Public relations officer,False,Subject life receive clear suffer hold.,Part-Time,Engineering,Springline,Finance,Gregory Peterson,Nicholas Kim,Regional Office,"Petersonburgh, CA"
1493,John Hamilton,T,Hispanic,Male,New Thomas,NY,MKN,1071,2020-02-29,2020-09-12,2020-02-29,4.0,2021-06-12,Contract Ended,TRC588,Involuntary,2021-04-29,Forest/woodland manager,False,Development various certain we yes outside.,Contractor,Product,Springline,Audit,Elizabeth Stafford,Dorothy Gomez,Headquarters,"New Thomas, NY"
1494,Scott Stephens,T,Black,Female,Ballshire,NY,MKN,5451,2017-11-23,2018-05-09,2017-11-23,7.0,2021-05-19,Contract Ended,TRC181,Involuntary,2018-11-30,Materials engineer,False,,Full-Time,Profesional,Springline,Finance,William Smith,Bonnie Perry,Remote,"Ballshire, NY"
1495,Matthew Reilly,T,Asian,Female,New Danielland,TX,MKN,6033,2018-03-20,2018-04-19,2018-03-20,6.0,2022-11-29,Contract Ended,TRC745,Involuntary,2018-07-17,Chiropractor,False,,Intern,Engineering,Springline,Audit,Omar Gibson,Mark Jones,Regional Office,"New Danielland, TX"
1496,Kristen Perez,T,Black,Non-Binary,East Robert,TX,Springline,5420,2022-11-09,2023-09-07,2022-11-09,2.0,2024-12-30,Contract Ended,TRC390,Involuntary,2023-09-28,Architect,False,,Part-Time,Product,Springline,Product Dept,Douglas Hall,Molly Kelly,Regional Office,"East Robert, TX"
1497,Shawn Bishop,A,White,Non-Binary,Jessicamouth,TX,MKN,8640,2016-01-05,2016-07-22,2016-01-05,9.0,,,,,2016-12-29,Equities trader,False,Study discover interview year resource scene.,Full-Time,Engineering,Springline,Sales Dept,Nathan Mcgee,Jeff Clark,Regional Office,"Jessicamouth, TX"
1498,Kristopher Cannon,A,Asian,Male,Schultzfort,TX,MKN,9567,2022-10-30,2023-09-19,2022-10-30,2.0,,,,,2024-04-29,Theme park manager,False,,Contractor,Product,Springline,Audit,Matthew Leblanc,Steven Kaufman,Regional Office,"Schultzfort, TX"
1499,James Duncan,T,Hispanic,Female,Hensonport,NY,MKN,7858,2019-03-03,2020-02-20,2019-03-03,5.0,2024-07-28,Retired,TRC532,Voluntary,2020-08-29,"Designer, graphic",False,,Contractor,Engineering,Springline,Sales Dept,Tina Bennett,Mark Ross,Remote,"Hensonport, NY"
1500,Alexis Young,A,Black,Non-Binary,Andersontown,NY,Springline,6876,2022-10-19,2023-01-19,2022-10-19,2.0,,,,,2023-03-14,Hydrographic surveyor,False,Soon better outside poor card skin.,Intern,Engineering,Springline,Product Dept,Bobby Chen,Emily Cortez,Headquarters,"Andersontown, NY"
1501,Dakota Hart,A,Black,Female,South Darius,TX,MKN,2729,2018-01-08,2018-11-02,2018-01-08,7.0,,,,,2019-06-01,Hydrogeologist,False,Personal peace police single to personal move.,Full-Time,Sales,Springline,Product Dept,John Davis,Mr. Ricky Mullins,Regional Office,"South Darius, TX"
1502,Jared White,T,Hispanic,Female,Wilsonborough,NY,Springline,9118,2021-10-04,2022-01-15,2021-10-04,3.0,2024-07-30,Contract Ended,TRC953,Voluntary,2022-07-11,Community arts worker,False,Give matter sign end election center television.,Part-Time,Engineering,Springline,Audit,Loretta Williams,James Jones,Regional Office,"Wilsonborough, NY"
1503,Manuel Solis,T,Asian,Non-Binary,Weekstown,WA,MKN,1449,2018-04-29,2018-10-24,2018-04-29,6.0,2020-09-28,Contract Ended,TRC383,Transfer,2019-07-13,Orthoptist,False,Teach team line wrong thank purpose huge.,Part-Time,Engineering,Springline,Product Dept,Kelly Jones,Michelle Hubbard,Remote,"Weekstown, WA"
1504,Joseph Kline,A,Hispanic,Female,New Phillipborough,CA,Springline,8540,2017-01-21,2017-12-14,2017-01-21,8.0,,,,,2018-05-03,Architectural technologist,False,Move throw computer husband talk open either care.,Contractor,Profesional,Springline,Audit,Nicole French,Jose Kelly,Headquarters,"New Phillipborough, CA"
1505,Sherry Prince,A,Hispanic,Non-Binary,Bowmantown,CA,Springline,5285,2020-08-18,2021-01-03,2020-08-18,4.0,,,,,2021-09-14,Editorial assistant,False,,Full-Time,Profesional,Springline,Finance,Amanda Cortez,David Cabrera,Remote,"Bowmantown, CA"
